,Index,Institute code,College Name,Address,Email,District,Principal Name,Office Number,Personal Number,Registrar Name
10,11,3011,"Government Polytechnic, Thane","At Phadke Pada, Opp. Bharat Gears,Mumbra Shil Road,Opp Bharat  Ltd. Thane , 400612",principal.gpthane@dtemaharashtra.gov.in,Thane,DR.NITIKET NIJANAND MHALA,9969601972 Ext.- ,9284720100 Ext.- ,AARTI MILIND PANCHMUKH
11,12,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","H.R. Mahajani Marg, Matunga, Mumbai ",director@vjti.org.in,Mumbai City,Dr. Dhiren R. Patel,24198101 Ext.- ,24198101 Ext.- ,Dr. V. N. Palaskar
12,13,3013,"Government Polytechnic, Vikramgad.","ZadPoli, Shil Road, at post Shil, Tal. Vikramgad, District Palghar",gpvikramgad11@gmail.com,Palghar,Shri. Atul B. Borade,203133 Ext.- ,203126 Ext.- ,Dr. A.V.Peshve
13,14,3014,"Sardar Patel College of Engineering, Andheri","Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",principal@spce.ac.in,Mumbai Suburban,Dr. Priyadarshi H. Sawant,26232192 Ext.- 201,26708371 Ext.- ,S.R.Vinerkar
14,15,3015,"Prin. K.M. Kundnani College of Pharmacy, Mumbai","Plot No. 23, Jote Joy, Rambhau Salgaonkar Marg, Cuffe Parade Mumbai",kmkcp@rediffmail.com,Mumbai City,Dr. (Mrs.) Urmila J.Joshi,22164368 Ext.- ,22165276 Ext.- ,Mrs. Swarada Tendulkar
15,16,3016,"Bombay College of Pharmacy, Santacruz(E), Mumbai","Kalina, Santacruz (E), Mumbai ",office.bcpindia@gmail.com,Mumbai Suburban,Dr.Krishnapriya Mohanraj,26670871 Ext.- 240,266701027 Ext.- 240,B.G KAWADE
16,17,3017,"C U Shah College of Pharmacy for Women, Mumbai","Sir Vithaldas Vidyavihar,(SNDT Women Uni)Juhu Road, Santacruz(w) Mumbai",cuscp@yahoo.co.in,Mumbai Suburban,Dr. Mrs. Pratima A. Tatke,26608462 Ext.- 2358,26609577 Ext.- ,Mr. Sharad Namdeo Dangle
17,18,3018,"Rachna Sansad Academy Of Architecture,Mumbai","278, Shankar Ghanekar Marg, Behind Ravindra Natya Mandir, Prabhadevi,Mumbai",contact@aoamumbai.in,Mumbai City,Shri Suresh M. Singh,24301024 Ext.- 205,24381749 Ext.- ,Suhas Pathak
18,19,3019,"Sir J. J. College of Architecture, Mumbai","78 / 3, Dr. D.N. Road, Fort, Mumbai",sirjjarchitecture@yahoo.co.in,Mumbai City,Rajiv,22621649 Ext.- , Ext.- ,
19,20,3020,"Sasmira's Institute of Manmade Textiles, Mumbai","Dr. A.B. Road, Sasmira Marg, Worli, Mumbai. 400030",principal@sasmira.org,Mumbai City,Mr. G. R. Andhorikar,24935351 Ext.- 211,24918201 Ext.- ,Anjali k pawar
20,21,3021,"K. J. Somaiya Polytechnic, Mumbai","Vidyanagar, Mumbai , 400077",info.polytech@somaiya.edu,Mumbai City,Mrs. Padmaja Bhanu Bandaru,21021752 Ext.- 9900,21027408 Ext.- ,Mr. Jayant D Tambve
21,22,3023,"St. Xavier's Technical Institute, Mumbai","Mahim Causeway Road, Mahim, Mumbai , 400016",office@xaviertech.com,Mumbai City,Dr. Shivaji B. Ghungrad,24455937 Ext.- ,24451961 Ext.- ,RAVIRAJ GHADGE
22,23,3024,"Sophia Shree B.K. Somani Memorial Polytechnic), Mumbai","Sophia Shree B. K. Somani Memorial Polytechnic, Mumbai , 400026",0407principal@msbte.com,Mumbai City,Dr. (Sr.) Anila Verghese,23514147 Ext.- 14,23514147 Ext.- 022,Dr.(Mrs.) Jignasa Shah
23,24,3025,"Shri Bhagubhai Mafatlal Polytechnic, Mumbai","N.R.G. Gadkari Marg, Mumbai , 400056",principalsbmp@rediffmail.com,Mumbai City,DR.M.Z.SHAIKH,42336000 Ext.- 6001, Ext.- ,MRS. P.S.KHIRE
24,25,3026,"M. H. Saboo Siddik Polytechnic, Mumbai","Anjuman-I-Islam's M.H.Saboo Siddik Polytechnic, 8, Shepherd Rd, Byculla, Mumbai",principal.mhssp@yahoo.com,Mumbai City,Ms. Zaibunisa Malik,23084881 Ext.- 110,23052252 Ext.- ,MR. MOHAMMAD TOUSIF SHAIKH
25,26,3027,"Premlila Vithaldas Polytechnic(Womens),Mumbai","SNDT Women's University,Juhu Road,Santacruz (W) Mumbai - Suburban , 400049",pvp@pvpsndt.org,Mumbai Suburban,Dr. Sachin Laddha ,26608676 Ext.- 101,26605162 Ext.- ,vacant
26,27,3028,"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai","Fr. Agnel Ashram Mumbai , 400050",fragnel_bandra@yahoo.com,Mumbai City,M. S. MOHAN,67114054 Ext.- 254,67114051 Ext.- 251,DEEPAK MASANE
27,28,3032,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai","Sir Vithaldas Thackersey Vidya Vihar,  Juhu Road, Santacruz(w), Mumbai - 400049",computersc@sndt.ac.in,Mumbai Suburban,Dr. Anita N Chaware,0222660 Ext.- 5127, Ext.- ,Dr. Deepak Govind Deshpande
28,29,3033,"Dr. Babasaheb Ambedkar Technological University, Lonere","Vidyavihar, P.O. Lonere, Ta-Mangaon Dist. Raigad ",registrar@dbatu.ac.in,Raigad,Dr. Brijesh  Iyer( Registrar ),275142 Ext.- , Ext.- ,Dr.Sunil S. Bhamare (Registrar )
29,30,3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai","SNDT  Women's University, Mumbai Juhu Campus, Santacruz (W), Mumbai ",umit@sndt.ac.in,Mumbai Suburban,Dr. Sanjay S. Pawar,26605183 Ext.- , Ext.- ,Dr. Deepak Deshpande  
30,31,3036,"Institute of Chemical Technology, Matunga, Mumbai","Nathalal Parikh Marg, Matunga, Mumbai ",ar.acad@staff.ictmumbai.edu.in,Mumbai City,Prof. G.D. Yadav,33611111 Ext.- 2222, Ext.- ,Prof. S.S. Lele
31,32,3039,"Hydrabad (Sind) National Collegiate K.M.Kundanani Pharmacy Polytechnic,Ulhasnagar Dist-Thane","Opp. Ulasnagar Railway Station, Thane , 421003",pkmkpp2003@yahoo.com,Thane,Mrs. Manjiri Gharat ,2705163 Ext.- 0251,2705163 Ext.- 0251,Mrs. Reema Wadhwani
32,33,3040,"Dr. Babasaheb Ambedkar Tech.University,Institute of Petrochemical Engineering,Lonere,Raigad","Vidyavihar,P.O.Lonere,Tal-Mangaon. Raigad , 402103",iopelonere@rediffmail.com,Raigad,Dr M.A. Dabhade,275103 Ext.- ,275103 Ext.- ,---
33,34,3041,PREMLILA VITHALDAS POLYTECHNIC Pharmacy shifted to 3027 from 3041,"SNDT Women's University, Juhu Road, Santacruz(W), Mumbai sub",pvp@pvpsndt.org,Mumbai City,Dr. Sachin Laddha ,26608676 Ext.- 101,26605162 Ext.- ,vacant
34,35,3101,"Bharti Vidyapeeth's Institute of Management Studies & Research, Navi Mumbai",Sector 8 CBD Belapur Navi Mumbai,director@bvimsr.com,Thane,Dr. Anjali Avinash Kalse,27572433 Ext.- ,27562582 Ext.- ,Mrs. Varsha D. Gawli
35,36,3102,"Chetana's Ramprasad Khandelwal Institute of Management & Research, Mumbai","Survey No. 341, Govt. Colony, Bandra (E), Mumbai  400051",info@crkimr.in,Mumbai Suburban,Mrs. (Dr). Jayashree Bhakay,26513346 Ext.- 1101,26430581 Ext.- ,Dr.Suresh Nerkar
36,37,3103,"K. J. Somaiya Institute of Management Studies & Research, Mumbai","Vidyanagar, Vidyavihar (E),  Mumbai  400077",meera@somaiya.edu,Mumbai City,Dr.(Prof) Monica Khanna,67283000 Ext.- 3003,67283000 Ext.- 3003,Meera Ramanathan
37,38,3104,"Lala Lajpatrai Institute of Management, Mumbai","Lala Lajpatrai Marg,  Mahalaxmi, Mumbai - 34.",info@llim.edu,Mumbai City,Dr. V.B. Angadi ,23513874 Ext.- 121,23513874 Ext.- 121,Suresh Suvarna
38,39,3105,"Mahatma Gandhi Mission's Institute of Management Studies & Research, Kamothe","At.Junction NH4,Sion Panvel Express Highway,Kalamboli,Kamothe,Navi Mumbai Raigad , 400706",mgm_imsr@yahoo.com,Raigad,Prof. Ashwini Arte,27433002 Ext.- ,27433008 Ext.- ,Rekha Suryavanshi
39,40,3106,"MET's Institute of Management, Mumbai","Gen. Arunkumar Vaidya Chowk, Bandra (W), Mumbai  400050",director_iom@met.edu,Mumbai Suburban,Prof Vijay Page,39554286 Ext.- , Ext.- ,Miss Anuradha Chavan
40,41,3107,"Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai","Lakhamsi Nappo Road, Next To R.A. Podar College of Commerce, Matunga(E), Mumbai 400019 ",director@welingkar.org,Mumbai City,Prof.Dr.Uday Salunkhe,24198300 Ext.- 8101,24105332 Ext.- ,Subhash Bhosle
41,42,3108,"Rizvi Institute of Management Studies & Research, Mumbai","New Rizvi Education Complex, Off. Carter Road,  Bandra (W) Mumbai , 400050",info@rmi.rizvi.edu.in,Mumbai Suburban,Dr. Kalim Khan,26042180 Ext.- 201,26044068 Ext.- 201,Mr. Sharad D. Shejawal
42,43,3109,"S.I.E.S. College of Management Studies, Mumbai","Sri. Chandrasekarandra Saraswathy Vidyapuram,  Plot 1 E, Sector-5, Nerul, Navi Mumbai Raigad , 400706",siescomsadmin@sies.edu.in,Raigad,"Dr.Bigyan Prakash Verma ,Director ",61082400 Ext.- 3401,27708333 Ext.- ,R.Chandrsekar
43,44,3110,"Vivekanand Education Society's Institute of Management Studies & Research, Mumbai","495-497,Collectors' Colony, Near Muncipal School, Chembur  Mumbai , 400074",mailus.vesim@ves.ac.in,Mumbai Suburban,Dr. Satish Modh,67893000 Ext.- 106,67893000 Ext.- 106,Arvind Waghmare
44,45,3111,"N. L. Dalmia Institute of Management Studies and Research, Mumbai","Srishti, Sector-I, Mira Road (E), Mumbai Thane , 401104",info@nldalmia.in,Thane,Dr. Raja Roy Choudhury,42990033 Ext.- 743,42990004 Ext.- ,Mr.-
45,46,3112,"Indian Education Society's Management College & Research Centre, Mumbai","Vishwakarma M.D ,Lotlikar Vidya Sankul, 791, Shri Krishnachand Marg,  Opp. Lilavati Hospital, Bandra Reclamation, Bandra (W), Mumbai , 400050",info@ies.edu,Mumbai Suburban,DR. DINESH D. HARSOLEKAR,26561717 Ext.- 721,25895084 Ext.- ,Mr. Bhalchandra Ghadi 
46,47,3113,"Maratha Mandir's Babasaheb Gawde Institute of Management Studies, Mumbai","4th Floor, Maratha Mandir's Annex, Babasaheb Gawde Chowk, Dr.  A.B. Nair Rd.,  Mumbai Central, Mumbai (M.S.)  400008",director@mmbgims.com,Mumbai City,Dr. Vidya Hattangadi ,66044100 Ext.- ,66044100 Ext.- ,Yogesh Sawant
47,48,3114,"Mahatma Education Society's Pillai's Institute of Management Studies & Research, New Panvel","Dr. K. M. Vasudevan Pillai's Campus 10, Sector 16, Podi No. 2, New Panvel, Maharashtra  Raigad , 410206",pimsr@mes.ac.in,Raigad,Dr. Satish K Nair,27456100 Ext.- 121,27451700 Ext.- 120,Mohan Naik
48,49,3115,"Anjuman-I-Islam's Allana Institute of Management Studies, Mumbai","Anjuman-I-Islam's Secretariat Bldg., Badruddin Tayyabji Marg, Off. 92, D.N. Road, Opp. CST, Mumbai  400001",director@aiaims.com,Mumbai City,Dr. Bernadette D’silva,22705207 Ext.- 28,22705208 Ext.- ,Gopal Chavan
49,50,3116,"Agnel Charities Agnel Seva Sangha's Fr. C. Rodrigues Inst. of Management. Studies, Vashi, Navi Mumbai","Sector 9A, Vashi, Navi Mumbai, Thane",agnelbiz@gmail.com,Thane,Dr. Sujata Chincholkar,27771000 Ext.- 246, Ext.- ,Shrabani Walke
50,51,3117,"Gurunanak Institute of Management Studies, Mumbai","Khalsa College Campus, Annex Building,  King's Circle, Matunga, Mumbai  400019",info@gnims.com,Mumbai City,Dr. Dattajirao Yashwantrao Patil,24043927 Ext.- ,32939193 Ext.- ,Archana Mayekar
51,52,3118,"Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research, Mumbai","Shyam Narayan Thakur Marg, Thakur Village, Kandivali (E), Mumbai 400101",timsr@thakureducation.org,Mumbai Suburban,Dr. Pankaj Natu,67308201 Ext.- 205,28854924 Ext.- ,Pankaj Singh
52,53,3119,"St. Francis Institute of Management & Research, Mumbai","Mt. Poinsur, S.V.P. Road, Borivali(W), Mumbai 400103",info@sfimar.org,Mumbai Suburban,DR.D. HENRY BABU,28929156 Ext.- 106,28958403 Ext.- 38,Bro. Xavier Munda
53,54,3120,"Atharva Educational Trust, Atharva Institute of Management Studies, Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Road, Charkop Naka, Malad(W), Mumbai  400095",aims@atharvaeducation.com,Mumbai Suburban,"DR. SUJATA PANDEY, DIRECTOR",40294949 Ext.- 300,40294949 Ext.- 309,MR. PRAKASH BHATKAR
54,55,3121,"Sahajeevan Shikshan Sanstha's Madanbhai Sura Institute of Business Management, Khed Dist. Ratnagiri","At Post Taluka Khed,  District-Ratnagiri ",msibmkhed@gmail.com,Ratnagiri,Dr. Prasad Suresh Bhanage,263895 Ext.- , Ext.- ,Nikhil Ashok Salvi
55,56,3122,"IBSAR Trust's IBSAR Institute of Management Studies, Karjat, Raigad","Plot no.159 B,Dahivali Tarfe Need, Karjat, Dist: Raigad  410201",iimskarjat410201@gmail.com,Raigad,Dr. M.L.Monga,220472 Ext.- ,220472 Ext.- ,Jayawant Upadhye
56,57,3123,"Parle Tilak Vidyalaya Asso.'s Institute of Management, Mumbai","Chitrakar Ketkar Marg, Vile Parle(E), Mumbai   400057",admin@ptvaim.com,Mumbai Suburban,Dr.  Harish Kumar S. Purohit,26100100 Ext.- 203, Ext.- ,Ms.Sunita Shringarpure
57,58,3124,"Saraswati Education Society, Group of Institutions ( Integrated Campus), Diksal Dist. Raigad","Sau.Vandana N.Tasgaonkar Technical Education Complex, Plot No.14, Village Diksal Post Koshane, Kalyan-Karjat Road,",sesgoifoe3124@gmail.com,Raigad,PROF. PRAFUL JAWANJAL,96570684 Ext.- 56,225666 Ext.- ,MS. MANISHA BHAWSAR
58,59,3125,"Audyogik Shikshan Mandal's Institute of Management & Computer Studies, Thane","C-4 Wagle Industial Estate, NearMulund Check Naka Thane(Mumbai)  400604",imcost@redifffmail.com,Thane,Dr. D. V. Kulkarni,25832452 Ext.- , Ext.- ,Manisha Shinde
59,60,3127,"NCRD's Sterling Institute of Management Studies, Navi Mumbai","Opp to Darave petrol pump,Plot No 93, Sector 19 Nerul (E), Navi mumbai  400706",accounts@ncrdsims.edu.in,Thane,Dr. Prashant Gundawar,27702282 Ext.- 211, Ext.- ,Dnyandeo Jadhar
60,61,3128,"Mandar Education Society's Rajaram Shinde College of Master of Business Adminstration, Chiplun","At Pedhambe Po. Alore ,Tal. Chiplun Dist: Ratnagiri 415603",mesmandarmba@gmail.com,Ratnagiri,Dattaprasad Mirajkar,230243 Ext.- 02355, Ext.- ,Vaishnavi B Shinde
61,62,3129,"Mumbai Institute of Management & Research, Mumbai","Knowledge Centre, Behind- MbPT Hospital Nadkarni Park, Near railway station,Wadala(East), Mumbai - 400 037",miomr@yahoo.com,Mumbai City,Dr. Chadaram Potharaju Satyanarayana,24143009 Ext.- ,24110879 Ext.- ,Mr. Vithal Shankar Chavan
62,63,3130,"VPM's Dr. V.N. Bedekar Institute Of Management Studies, Mumbai","Jnanadweepa, Chendani, Bunder Road, Thane (W)   400601",vnbrims@vpmthane.org,Thane,Dr.Nitin Joshi ,25391665 Ext.- ,25364492 Ext.- 304,Vaibhav Pandit
63,64,3131,"Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management, Ulhasnagar, Thane","Opposite Ulhasnagar Railway Station,  Smt. CHM College Campus, Ulhasnagar 421 003",hsncb.mgmt@gmail.com,Thane,Dr. Mrs. Swati Sabale (Director),2571867 Ext.- ,2562662 Ext.- ,NA
64,65,3132,"Dr. G D Pol Foundation YMT College of Management, Navi Mumbai","Intitutional Area, Sector 4  Kharghar, Navi Mumbai 410 210",ymtmanagement@gmail.com,Raigad,Dr. Swati Padoshi,27744408 Ext.- ,27744408 Ext.- ,Mrs. Japita Bhowmik
65,66,3133,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane","Sonadevi Compaund, Temghar, Near Octroi Naka,  Kalyan Road, Bhivandi, Dist. Thane   421302",sscmr.mba@gmail.com,Thane,  Director Dr. Ginlianlal Buhril,248257 Ext.- 21,248257 Ext.- 21,Mr. Kishor Parmar
66,67,3134,"Bombay St. Xavier College Soc.'s Xavier Institute of Management & Research, Mumbai","St. Xavier College Campus, 5, Mahapalika Marg, Mumbai  400001",admin@ximr.ac.in,Mumbai City,Prof.Dr.Vaidyanathan K. N.,22650608 Ext.- 107,650609 Ext.- 107,Malachy Dias
67,68,3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai","Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",mctrgit02@gmail.com,Mumbai Suburban,Dr. Sanjay U. Bokade,26707026 Ext.- 101,26707025 Ext.- 101,Shri. Subhash Khachane
68,69,3136,"Oriental Education Society Oriental Institute of Management, Navi Mumbai","Plot No 149, Sector 12, Vashi Navi Mumbai 400703",admin@oim.edu.in,Raigad,Dr.K.G.Dawani,27899156 Ext.- 11,27899157 Ext.- 13,Mrs.Nirmala Falke
69,70,3138,"Gahlot Institute of Management Studies and Research, Navi Mumbai","Plot No.59, Sector-14, Koperkhairane, Navi Mumbai 400709 ",gahlot_mgmt@rediffmail.com,Raigad,Viral Desai,27550811 Ext.- 203,27550822 Ext.- ,Mrs. Arati Jagdale
70,71,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai","Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",principal@vit.edu.in,Mumbai City,Dr. S A Patekar,24161126 Ext.- 1001,24161126 Ext.- 1001,Mukund Deshmukh
71,72,3140,"Vighnaharata Trust, Shivajirao S. Jodhale Institute of Management Science and Research, Asangaon","Asangaon, Opp. Asangaon Railway Station, Tal.Shahapur, Dist. Thane  421601",vjtsscoe@rediffmail.com,Thane, dr suunil losarwar ,9594962027 Ext.- ,9594962026 Ext.- ,R. M. KORDE
72,73,3142,"Navjeevan Education Society's Polytechnic, Mumbai","Ganesh Nagar,Ganesh Path Mumbai , 400078",nespolytechnic@rediffmail.com,Mumbai Suburban,Mr. AJAY S. BHOIR,25952601 Ext.- 022, Ext.- ,A. P. PATIL
73,74,3143,"Zagdu Singh Charitable Trust's Thakur Polytechnic, Mumbai","Thakur Complex, West To W.E.Highway Mumbai ",tpoly@thakureducation.org,Mumbai Suburban,Dr. S.M. Ganechari,28542481 Ext.- 312,28543540 Ext.- ,Mrs. Sarita Singh
74,75,3144,"Mahavir Education Trust's Shah & Anchor Kutchhi Polytechnic, Mumbai","Near Chhatrapati Shivaji Maharaj Chowk, , Waman Tukaram Patil Marg  Mumbai , 400088",info@sakp.ac.in,Mumbai City,PROF. SANJAY M. LUNGE ,67978400 Ext.- 222,67978400 Ext.- 222,Mahendra P. Bagul
75,76,3145,"Vivekanand Education Society's Polytechnic, Mumbai","Sindhi Society,Chembur Mumbai , 400071",vespolytechnic@yahoo.co.in,Mumbai City,Mr. Vikrant B Joshi ,25227638 Ext.- 103, Ext.- ,Mr. Vikrant B Joshi 
76,77,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai","Sector 4,Ploat No-17,Kharghar, Navi Mumbai. Dist. Raigad ",principal@acpce.ac.in,Raigad,Dr Vijaykumar N Pawar,27745722 Ext.- , Ext.- ,MR. C. L. PATIL
77,78,3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat","Near Bhiv puri Road Railway statiion Chandai ,Tal Karjat, Dist Raigad",nanduyt@hotmail.com,Raigad,Prof. S.R. Wankhade,8806753541 Ext.- , Ext.- ,vivek sawant 
78,79,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Vaman Tukaram Patil Marg, Chembur, Mumbai",principal@sakec.ac.in,Mumbai Suburban,Dr. Bhavesh Patel,25580854 Ext.- 121,67978100 Ext.- 121,Prof.A.W.Khan
79,80,3149,"Shree Shankar Narayan Education Trust's Rohidas Patil Institute of Management Studies, Bhayandar","Mahavidyalaya Marg, Navghar,  Bhayandar (E), Dist Thane  401105",director@rpims.com,Thane,Dr. Bhupesh V. Rane,28160904 Ext.- , Ext.- ,Mr. Vishnu S. Patil
80,81,3151,"Vishweshwar Education Society's Indira Institute of Business Management, Navi Mumbai","Plot No. -2, Sector 9,  Sanpada, Navi Mumbai. Raigad , 400705",info@indiraiibm.edu.in,Raigad,Dr. Swati Padoshi,27753228 Ext.- 137,27752428 Ext.- ,-
81,82,3153,"Humera Khan Institute Of Mangement Studies & Reserch, Mumbai","Mhada Complex, Pratiksha Nagar,  Oshiwara, Jogeshwari (W), Mumbai  400102",admin.mba@hkimsr.edu.in,Mumbai Suburban,Prof. Tamojit G. Roy,26774588 Ext.- 20, Ext.- ,Mr. Ayub Chougule
82,83,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",registrarsaraswati@gmail.com,Raigad,DR.Manjusah Deshmukh,27743705 Ext.- 215,27743706 Ext.- 215,Mr.Amar Shinde
83,84,3155,"SYCSPM'S Sinhgad Institute of Business Management, Chandivali, Powai, Mumbai","Plot No. 126, MHADA Colony, Chandivali, Powai, Mumbai.  400072",info@sycspm.org,Mumbai Suburban,Dr. S. Mohanty,28582888 Ext.- ,28472090 Ext.- ,P. L. Jangam
84,85,3157,"Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research, Ghatkopar","R. B. Kadam Marg(Jivdaya Lane), Near MTNL Exchange, Agra Road, Ghatkopar (w) Mumbai  400086",info@amsimr.org,Mumbai Suburban,Mr. Purav Shah,25126805 Ext.- ,25126805 Ext.- ,Mr. Pankaj Mehta
85,86,3158,"Saket Gyanpeeth's, Saket College of management, Kalyan","S.No.27, H.No.10, Katemanivlli, Kalyan (East),Dist:Thane  421304",saketcollegeofmanagement@gmail.com,Thane,Dr.Sanoj Kumar,2250469 Ext.- 56,2250469 Ext.- 56,Mr.Vinayak N Mane
86,87,3159,"JNIESTR's,Rajeev Gandhi College of Management Studies, Navi Mumbai","Plot No. 1,Sector-8, Ghansoli, Navi Mumbai. ",rgcms@rediffmail.com,Thane,Dr. Anil Matkar,7303760809 Ext.- , Ext.- ,Dinesh T. Gabhane
87,88,3160,"Mahatma Edu.Soc.'s Pillai's HOC Institute of Management Studies & Research, Khalapur Dist. Raigadh","Pillai's HOCL Educational Campus,Rasayani,Khalapur, Via Panvel, Dist Raigad.  410207",vpillai@mes.ac.in,Raigad,Dr. Shasidharan Pillai,250066 Ext.- ,250066 Ext.- ,Ashrin Khan
88,89,3161,Viva Institute of Management and Research (Viva School of Management and Research),Viva Institute of Management and Research (Viva School of Management and Research),contact@vivaimr.org,Palghar,Dr. Hireshkumar Shankarlal Luhar,6990999 Ext.- 103,9321754320 Ext.- ,Mr. Mahendra D. Kajare
89,90,3162,"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai","Sector 8. CBD, Belapur, Navi Mumbai  400614",admission@bvimit.co.in,Thane,Bharati Vidyapeeth's Institute of Management  Informati,27578415 Ext.- 209,27578415 Ext.- 209,Amol Ghatage
90,91,3163,"Shri Angarsiddha Shikshan Prasarak Mandal's Diploma In Pharmacy Institute,Sangulwadi,Tal-Vaibhavwadi","Np 1290, At Post Sangulwadi, Vaibhavwadi, Sindhudurg 416810",0852principal@msbte.com,Sindhudurg,Mr. Patil Jivan Rajaram,237370 Ext.- ,237370 Ext.- ,Mr.Ganesh Patil
91,92,3165,"Viva School Of MCA, Virar (E)","Viva School Of MCA, Virar (E)",principal@vivamca.org,Palghar,Dr. Minesh Ade,7770002544 Ext.- ,7887447776 Ext.- ,Mr. Mahendra Kajare
92,93,3167,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai","Gen. Arunkumar Vaidya Chowk, 2nd Floor, MET complex, Bandra Reclamation, Bandra(W), Mumba 400050",principal_ics@met.edu,Mumbai Suburban,Dr.Abhijit Banubakode,39554267 Ext.- 267,39554267 Ext.- 267,Mr. Shrikant S. Apte
93,94,3168,"Thakur Institute of Management Studies Career Development Research, Kandivali (E), Mumbai","Shyamanarayan Thakur Marg, Thakur Village, Kandivali (E), Mumbai , 400101",timscdr@thakureducation.org,Mumbai Suburban,Dr. Vinita Gaikwad,67308301 Ext.- 318,67308318 Ext.- ,Mr. Shailesh Sharma
